subject,metric,n,mean,median,std,ci95_low,ci95_high,t_test_pvalue_vs_zero,independent_events,interpretation_flag
Board / Management,return_5m_pct,180,-0.10309382226314708,0.023276058555377656,1.0691977752775224,-0.260817264286094,0.04634949769791292,0.19745925929376923,180,Eligible for statistical inference
Business / Strategic,return_5m_pct,199,0.49013204854577636,0.31778414217897555,1.4478115111062222,0.2970552785252921,0.6818428631167472,3.480099317874575e-06,199,Eligible for statistical inference
Corporate Actions,return_5m_pct,141,0.09802312630780849,0.024703557312252964,0.6749733840003828,-0.016145083652996755,0.21179685832388578,0.086833126658661,141,Eligible for statistical inference
Credit / Financing,return_5m_pct,27,-0.03745276545598886,0.053619302949067076,1.029466623402516,-0.4267031295251577,0.29083350477560693,0.8515294667348159,27,Eligible for statistical inference
Financial Results,return_5m_pct,142,0.11991190647463179,0.06990448788032912,1.6132430266546807,-0.15215224017661377,0.36309022880308733,0.37726527188216985,142,Eligible for statistical inference
Investor / Analyst,return_5m_pct,261,0.11475609505808373,0.05213764337851632,0.9203327458532631,0.006130659036689107,0.22816183979740828,0.044994599016522814,261,Eligible for statistical inference
Other,return_5m_pct,167,0.5283441769456819,0.13932427725531704,1.662761771144084,0.30513353424065676,0.7853807048567149,6.297783831902445e-05,167,Eligible for statistical inference
Regulatory / Compliance,return_5m_pct,453,0.10749256716434585,0.04063609026630184,0.7955716164249718,0.036347009119142105,0.1730820901857908,0.004221398085117932,453,Eligible for statistical inference
Board / Management,return_30m_pct,180,-0.09831832489871356,0.015540045970145943,1.2424484148479882,-0.2926010546075349,0.07340595325096648,0.289812711854272,180,Eligible for statistical inference
Business / Strategic,return_30m_pct,199,0.5123723044133623,0.28312159709619533,1.6835314431122426,0.30466797871118756,0.7352179240939004,2.754551561780407e-05,199,Eligible for statistical inference
Corporate Actions,return_30m_pct,141,0.07910942565606562,-0.001443397179607162,0.9453931386189507,-0.07715411272629925,0.23774484614387897,0.3221165761633197,141,Eligible for statistical inference
